alpha,cl,cd,cm
-10,0.1899367,0.09653877,-0.1214825
-9.5,0.2064618,0.09253464,-0.122397
-9,0.2229016,0.08846314,-0.1236166
-8.5,0.2391399,0.08446413,-0.1254644
-8,0.2548342,0.08265458,-0.1276214
-7.5,0.2715905,0.07849916,-0.1291826
-7,0.2862543,0.07389703,-0.1305003
-6.5,0.2962491,0.06940054,-0.1310462
-6,0.3095233,0.06454389,-0.1330933
-5.5,0.298642,0.02400559,-0.1766114
-5,0.3518364,0.01780014,-0.181241
-4.5,0.4059588,0.01551517,-0.1816379
-4,0.4611646,0.0145426,-0.1814792
-3.5,0.5164567,0.01414309,-0.1811217
-3,0.5713004,0.01336255,-0.1808392
-2.5,0.6260188,0.01320275,-0.1805224
-2,0.6830187,0.01337508,-0.1806655
-1.5,0.7381713,0.01342339,-0.1803109
-1,0.7931733,0.01325318,-0.1799823
0.5,0.8479255,0.01342043,-0.1795849
0,0.9024562,0.01342247,-0.179245
0.5,0.9566576,0.01356086,-0.1788293
1,1.010291,0.01380623,-0.1783153
1.5,1.063588,0.01383642,-0.1778678
2,1.116767,0.01422709,-0.1774266
2.5,1.171196,0.01509286,-0.1776156
3,1.22363,0.015245,-0.1770412
3.5,1.275272,0.01529589,-0.1764736
4,1.323526,0.01472019,-0.1751922
4.5,1.373796,0.01513617,-0.1743403
5,1.423399,0.0155866,-0.1734274
5.5,1.472408,0.01605363,-0.1724553
6,1.520806,0.01645022,-0.1713698
6.5,1.568152,0.01679114,-0.1700935
7,1.614179,0.01729362,-0.1686995
7.5,1.660197,0.0180539,-0.1674862
8,1.703187,0.01968865,-0.1662648
8.5,1.743267,0.01984911,-0.1637782
9,1.777257,0.02020604,-0.1602822
9.5,1.809547,0.02061169,-0.1566272
10,1.841966,0.0211558,-0.1532231
10.5,1.875069,0.02162962,-0.1500427
11,1.904924,0.0222016,-0.1465066
11.5,1.933393,0.02318394,-0.1431128
12,1.960515,0.02467757,-0.1400058
12.5,1.975761,0.02606944,-0.1354295
13,1.988565,0.02782703,-0.1311354
13.5,2.002121,0.02994472,-0.1275123
14,2.006831,0.03290549,-0.1236065
14.5,2.008359,0.03666991,-0.1202498
15,1.999714,0.04171207,-0.1172136
15.5,1.979855,0.04824331,-0.1143377
16,1.953101,0.05626943,-0.1122113
16.5,1.917037,0.06589468,-0.1108431
17,1.881713,0.07572642,-0.110107
17.5,1.852073,0.08501316,-0.1099734
18,1.815515,0.09579903,-0.1106506
18.5,1.804475,0.1032649,-0.1113991
19,1.773393,0.1136077,-0.1130944
19.5,1.766388,0.1206723,-0.1146442
20,1.755147,0.1280041,-0.1164366
