alpha,cl,cd,cm
-10,0.1459085,0.09809849,-0.1355655
-9.5,0.1523169,0.08608357,-0.1422176
-9,0.1865043,0.08040684,-0.1467117
-8.5,0.2042615,0.07618337,-0.1474043
-7.5,0.2377968,0.06733402,-0.150711
-7,0.2510091,0.06262229,-0.1526863
-6.5,0.2555371,0.05793392,-0.1537976
-6,0.2626769,0.05228945,-0.1583567
-5.5,0.3051003,0.04508234,-0.1726864
-4,0.4235382,0.01739977,-0.1900989
-3.5,0.4847001,0.01396876,-0.1916378
-3,0.5401829,0.01235282,-0.1913894
-2.5,0.598269,0.01154282,-0.1915896
-2,0.6568392,0.01113956,-0.1917958
-1.5,0.7170577,0.01069984,-0.1931656
-1,0.7714919,0.01044142,-0.1930388
-0.5,0.8269111,0.010203,-0.1930939
0,0.883227,0.009904078,-0.193357
0.5,0.9380579,0.009943887,-0.1931265
1,0.9892673,0.009901854,-0.1920489
1.5,1.038856,0.009908762,-0.1905107
2,1.078726,0.009918664,-0.1867888
2.5,1.130088,0.009985255,-0.18597
3,1.18136,0.01028851,-0.1852347
3.5,1.231927,0.01069292,-0.184453
4,1.280922,0.01099906,-0.1833601
4.5,1.325225,0.01151661,-0.1813851
5,1.370983,0.01192978,-0.1797602
5.5,1.410955,0.01241292,-0.1770139
6,1.447933,0.01315288,-0.1738698
6.5,1.486531,0.01366383,-0.1710824
7,1.516943,0.01455039,-0.166995
7.5,1.553346,0.01535022,-0.1641584
8,1.585118,0.01625682,-0.1606647
8.5,1.608792,0.01768218,-0.1561306
9,1.643162,0.01861362,-0.1534551
9.5,1.665264,0.02019588,-0.1491841
10,1.687216,0.02197574,-0.1452016
10.5,1.71452,0.02343905,-0.1421762
11,1.72648,0.0259712,-0.1376109
11.5,1.748887,0.0281117,-0.13452
12,1.768175,0.03055489,-0.1314505
12.5,1.772447,0.03424714,-0.1272777
13,1.791085,0.03702568,-0.1247852
13.5,1.802467,0.04043662,-0.121977
14,1.798997,0.04523921,-0.1186056
14.5,1.813638,0.04869278,-0.1167396
15,1.805903,0.05477427,-0.1143359
15.5,1.814858,0.05929296,-0.1128641
16,1.812676,0.06537856,-0.1116742
16.5,1.79902,0.07288481,-0.1105908
17,1.803671,0.07842313,-0.1104386
17.5,1.797198,0.08515126,-0.1104439
18,1.778946,0.09339439,-0.1111086
18.5,1.784322,0.09853855,-0.1118728
19,1.768771,0.105954,-0.1137124
19.5,1.74655,0.1144009,-0.1162614
20,1.747916,0.1201666,-0.1182246
 , , , 
 , , , 
 , , , 
