alpha,cl,cd,cm
-10,0.193354,0.09902237,-0.1233435
-9.5,0.1888517,0.08868554,-0.1255329
-9,0.207986,0.08448123,-0.1263393
-8.5,0.2277847,0.08104543,-0.1265113
-8,0.248098,0.07745719,-0.1274306
-7.5,0.2660695,0.0736775,-0.1285292
-7,0.2802329,0.06975394,-0.1295866
-5.5,0.3012367,0.02156496,-0.1785483
-5,0.3548919,0.01849557,-0.1804883
-4.5,0.4081375,0.01488327,-0.1816747
-4,0.4624631,0.0128926,-0.1816236
-3.5,0.5167176,0.012611,-0.1810819
-3,0.5735566,0.01237181,-0.181225
-2.5,0.6289959,0.01205355,-0.180909
-2,0.6844227,0.01214855,-0.180582
-1.5,0.7398829,0.01195777,-0.1803343
-1,0.7950813,0.01197362,-0.1799897
-0.5,0.8498764,0.01200367,-0.1796269
0,0.9039042,0.01230418,-0.1790981
0.5,0.9577712,0.01228722,-0.1786895
1,1.012771,0.01270384,-0.1785347
1.5,1.068783,0.01318449,-0.1787554
2,1.122038,0.01316122,-0.1782117
2.5,1.174919,0.01327559,-0.177639
3,1.227535,0.01336204,-0.1771318
3.5,1.279701,0.01349921,-0.1765987
4,1.328899,0.01284956,-0.1755716
4.5,1.380149,0.01320165,-0.1748583
5,1.430577,0.01356676,-0.1740411
5.5,1.479909,0.01396031,-0.1730702
6,1.52762,0.0143904,-0.1718426
6.5,1.576323,0.0150909,-0.1710034
7,1.62581,0.01641076,-0.1707187
7.5,1.671257,0.01654961,-0.1690958
8,1.712886,0.01672788,-0.1667942
8.5,1.750779,0.01698826,-0.1638491
9,1.788279,0.01736682,-0.1609978
9.5,1.825313,0.01774818,-0.1581725
10,1.860326,0.01823551,-0.1551485
10.5,1.891212,0.01886206,-0.1515932
11,1.924975,0.02006212,-0.1489717
11.5,1.954529,0.02087204,-0.1456642
12,1.979595,0.02183013,-0.1419265
12.5,2.002118,0.02300953,-0.138196
13,2.02169,0.02455258,-0.1345028
13.5,2.026693,0.02715904,-0.1297438
14,2.036728,0.02996364,-0.126218
14.5,2.046682,0.03306816,-0.1233403
15,2.03298,0.03838709,-0.1195378
15.5,2.010083,0.04509999,-0.1162054
16,1.987328,0.05255915,-0.1138987
16.5,1.936921,0.06368111,-0.1118943
17,1.915654,0.07174476,-0.1110113
17.5,1.867849,0.08326944,-0.1107097
18,1.835201,0.09359047,-0.1113226
18.5,1.810138,0.1027875,-0.1120823
19,1.783376,0.1129258,-0.1139229
19.5,1.770725,0.1205694,-0.1154299
20,1.771907,0.1262915,-0.1167641
