alpha,cl,cd,cm
-10,0.08168701,0.1149402,-0.09324957
-9.5,0.1002256,0.1098112,-0.09559234
-9,0.119195,0.1046343,-0.09792215
-8.5,0.1377396,0.09950493,-0.09996705
-8,0.158098,0.09424182,-0.102746
-7.5,0.1575344,0.08253657,-0.1070915
-6.5,0.2039718,0.07382727,-0.1081602
-6,0.2290723,0.07015445,-0.1095714
-5.5,0.2536428,0.06641566,-0.1121453
-5,0.2848855,0.06199401,-0.1176043
-4.5,0.3246153,0.0565498,-0.1270647
-4,0.4124939,0.04851941,-0.1544843
-3.5,0.4983693,0.02512097,-0.1833847
-3,0.5737261,0.01883817,-0.1907994
-2.5,0.6386466,0.01626345,-0.1932744
-2,0.699285,0.01499898,-0.1943188
-1.5,0.7581335,0.01439753,-0.1949373
-1,0.8156464,0.01422188,-0.1952586
-0.5,0.870726,0.01445478,-0.1955561
0,0.9251639,0.01475934,-0.1955491
0.5,0.979317,0.01514422,-0.1956443
1,1.033983,0.01550467,-0.1961767
1.5,1.088393,0.01595672,-0.1964955
2,1.141941,0.01643612,-0.196704
2.5,1.193569,0.01711638,-0.1964342
3,1.244018,0.01793948,-0.1959778
3.5,1.292945,0.01874779,-0.19533
4,1.33972,0.01966448,-0.1943261
4.5,1.378518,0.02102518,-0.1920188
5,1.391816,0.02484675,-0.186503
6,1.501649,0.02363117,-0.1861762
6.5,1.552512,0.02334983,-0.1854719
7,1.598253,0.02310123,-0.1838611
7.5,1.640173,0.02295062,-0.1816337
8,1.678805,0.02295124,-0.1789809
8.5,1.714139,0.02317987,-0.1760226
9,1.750254,0.02276761,-0.1728988
10,1.77419,0.02679307,-0.1621841
10.5,1.768788,0.0304057,-0.1558109
11,1.734213,0.03717352,-0.1485618
11.5,1.684302,0.04678934,-0.1425235
12,1.631975,0.05713327,-0.1374322
12.5,1.590294,0.06811803,-0.1353948
13,1.526142,0.0843517,-0.1363397
13.5,1.470472,0.09766183,-0.135949
14,1.477418,0.1028309,-0.1354579
14.5,1.482377,0.1083426,-0.1353071
15,1.351531,0.1367541,-0.1437476
15.5,1.365767,0.1403344,-0.1440499
16,1.382749,0.1435664,-0.1443095
16.5,1.400891,0.1467019,-0.144591
17,1.419297,0.1498473,-0.144926
17.5,1.437269,0.1530991,-0.1453448
18,1.453977,0.1566094,-0.1459041
18.5,1.480468,0.1586139,-0.1461323
19,1.494856,0.1625704,-0.1470036
19.5,1.378025,0.1955734,-0.1608231
20,1.390237,0.2006125,-0.1623206

