alpha,cl,cd,cm
-10,0.07494318,0.1075697,-0.08639282
-9.5,0.09504065,0.1028467,-0.08937284
-9,0.1148197,0.09910144,-0.09264102
-8.5,0.1314782,0.09600288,-0.09518813
-8,0.1529726,0.09189802,-0.09796285
-7.5,0.1746781,0.08747807,-0.1008392
-7,0.1969018,0.08280486,-0.1039869
-6.5,0.2213438,0.07784146,-0.1078294
-6,0.2438481,0.07304614,-0.1116195
-4.5,0.3469982,0.04535434,-0.1481469
-4,0.4004639,0.04103595,-0.1552266
-3.5,0.4680973,0.03472672,-0.1673616
-3,0.5850889,0.01581518,-0.1931204
-2.5,0.6510599,0.01312971,-0.1954538
-2,0.7119996,0.01230163,-0.1964805
-1.5,0.7705252,0.01202131,-0.1970573
-1,0.8179255,0.01285924,-0.1956443
-0.5,0.8752598,0.01343099,-0.1961407
0,0.9317408,0.01392062,-0.1968925
1,1.040087,0.01536718,-0.1972267
1.5,1.092529,0.01622818,-0.1971846
2,1.142802,0.01726729,-0.1972148
2.5,1.196591,0.01751241,-0.1973278
3,1.259984,0.01607821,-0.1986247
3.5,1.31902,0.01511461,-0.1991807
4,1.373215,0.0150189,-0.1990758
4.5,1.426034,0.01518422,-0.1989163
5,1.478017,0.01527496,-0.1985945
5.5,1.525415,0.01508922,-0.1972415
6,1.573334,0.01510881,-0.1960169
6.5,1.621984,0.01521372,-0.1950536
7,1.666909,0.01543178,-0.193438
7.5,1.706866,0.01583515,-0.1909769
8,1.739106,0.01651929,-0.187279
8.5,1.749174,0.01818126,-0.1803713
9,1.753755,0.020696,-0.1735534
9.5,1.730978,0.02512912,-0.1642033
10,1.686845,0.03223644,-0.1548085
10.5,1.646255,0.04041057,-0.1477165
11,1.596041,0.05100019,-0.1427338
11.5,1.586705,0.05709625,-0.1394448
12,1.59399,0.06181469,-0.13761
12.5,1.57484,0.07085104,-0.1368948
13,1.483474,0.09091854,-0.1383063
13.5,1.491422,0.09594418,-0.1375536
14,1.504092,0.1003354,-0.1368916
14.5,1.516469,0.1047219,-0.1363631
15,1.520961,0.1103072,-0.1362864
15.5,1.379761,0.139895,-0.1449956
16,1.397812,0.1428723,-0.1451545
16.5,1.416266,0.14583,-0.1453537
17,1.436251,0.1486019,-0.1456269
17.5,1.45694,0.1512889,-0.1459588
18,1.474997,0.1544715,-0.1462697
18.5,1.493449,0.1575708,-0.1467534
19,1.509391,0.1610872,-0.1474156
19.5,1.520957,0.1654134,-0.1484379
20,1.395064,0.2005964,-0.1632755
