alpha,cl,cd,cm,
-10,0.3042321,0.1072687,-0.139397,
-9.5,0.3265253,0.1030844,-0.1418355,
-9,0.3476262,0.09993946,-0.1451287,                                                                 
-8.5,0.3703842,0.0950492,-0.1469426,
-8,0.3932266,0.09096743,-0.1487143,
-7.5,0.4165755,0.0871353,-0.1508985,
-7,0.440799,0.08383093,-0.1540182,
-6.5,0.4611896,0.08041936,-0.1560236,
-6,0.4843428,0.07659003,-0.1567616,
-5.5,0.5092212,0.07368081,-0.1594382,
-5,0.5435717,0.07070628,-0.1661034,
-4.5,0.5754736,0.06643904,-0.1678252,
-4,0.6106914,0.0634965,-0.1725944,
-3.5,0.6605897,0.05960838,-0.1810208,
-3,0.7187438,0.05578695,-0.1894422,
-2.5,0.7742393,0.05234958,-0.1982379,
-2,0.8889375,0.04775646,-0.2208877,
1.5,1.518918,0.02777511,-0.2948862,
2,1.573569,0.02807716,-0.2955362,
2.5,1.611999,0.02939285,-0.2935798,
3,1.669536,0.02971814,-0.2947126,
3.5,1.729818,0.02917233,-0.2960608,
4,1.73224,0.03288561,-0.2884853,
4.5,1.786513,0.03338948,-0.2886698,
5,1.8436,0.03389002,-0.2893891,
6,1.875048,0.03929384,-0.2785643,
7,1.887372,0.04471428,-0.2649414,
10,1.524351,0.1136726,-0.2196012,
10.5,1.576249,0.1120129,-0.2180226,
11,1.636015,0.1091005,-0.2165564,
14.5,1.921106,0.1048441,-0.2062705,
17,2.080649,0.1081815,-0.1993568,
17.5,2.076205,0.1138224,-0.1978389,
18,2.071779,0.1195528,-0.1967375,
20,2.029385,0.1472466,-0.197975,
