alpha,cl,cd,cm,
-10,0.2993789,0.1046154,-0.1378931,
-9.5,0.3198231,0.1008069,-0.1413163,
-9,0.343362,0.09561533,-0.1425802,                                                                 
-8.5,0.3664558,0.091495,-0.1447622,
-8,0.3901376,0.0873857,-0.1471515,
-7.5,0.4139638,0.08368229,-0.1506856,
-7,0.4376884,0.07915128,-0.1524644,
-6.5,0.4630429,0.07532472,-0.1543666,
-6,0.4854331,0.07196774,-0.1559604,
-5.5,0.5189009,0.068466,-0.1622257,
-5,0.5508434,0.06403194,-0.1651447,
-4.5,0.5874868,0.06042147,-0.1693163,
-4,0.6542302,0.05592969,-0.1846257,
-3.5,0.687762,0.05192635,-0.1850675,
-3,0.7879875,0.04668127,-0.2071688,
-2.5,0.8199487,0.04339835,-0.2059404,
-2,0.9244572,0.03803638,-0.225191,
-1.5,1.03879,0.03303751,-0.2449163,
0,1.405345,0.01739442,-0.2990842,
0.5,1.470394,0.01683212,-0.3015549,
1,1.528466,0.01661833,-0.3025329,
1.5,1.587614,0.01647596,-0.30376,
2,1.647168,0.01655015,-0.3050668,
2.5,1.703112,0.01678648,-0.30574,
3,1.757456,0.01694441,-0.3061961,
3.5,1.810805,0.01665525,-0.3065146,
4,1.866844,0.01704812,-0.3071115,
4.5,1.914212,0.01755623,-0.3060776,
5,1.963034,0.01799561,-0.3053565,
5.5,2.016351,0.01839204,-0.3055698,
6,2.067024,0.01899236,-0.3053924,
6.5,2.109041,0.01958507,-0.3035118,
7,2.158422,0.01987716,-0.3030106,
7.5,2.200335,0.02031163,-0.3010954,
8,2.242029,0.02048651,-0.2990507,
8.5,2.28098,0.02105721,-0.296711,
9,2.314418,0.02160357,-0.2933056,
9.5,2.357305,0.02204866,-0.2918029,
10,2.36752,0.02299123,-0.2840524,
10.5,2.400841,0.0234903,-0.2808,
11,2.395597,0.02502616,-0.2709298,
11.5,2.40056,0.02680688,-0.263682,
12,2.41587,0.0284088,-0.2585392,
12.5,2.401859,0.0320793,-0.2503795,
13,2.386637,0.03674539,-0.2435118,
13.5,2.353883,0.04396045,-0.2365239,
14,2.324142,0.05137985,-0.2304458,
14.5,2.274105,0.06153378,-0.2238484,
15,2.221181,0.07247777,-0.2177996,
15.5,2.170164,0.0835779,-0.2125777,
16,2.12773,0.09389836,-0.2084362,
16.5,2.097592,0.1029568,-0.2054901,
17,2.0751,0.1112026,-0.2033985,
17.5,2.059666,0.1186403,-0.2020129,
18,2.047274,0.1257821,-0.2012137,
18.5,2.035895,0.1328853,-0.2009512,
19,2.02839,0.1395061,-0.2011261,
19.5,2.021232,0.1460637,-0.2016811,
20,2.017647,0.1521785,-0.202585,
