alpha,cl,cd,cm,
-10,0.06872429,0.1241642,-0.07310675,
-9.5,0.09938653,0.1169959,-0.07857168,
-9,0.111789,0.1109771,-0.08160891,                                                                 
-8,0.1604672,0.09869267,-0.08415492,
-7,0.2337224,0.08728144,-0.1104703,
-6,0.3367761,0.07575573,-0.1299885,
-5.5,0.3509562,0.07295896,-0.1265439,
-5,0.3538198,0.07055998,-0.1226599,
-4.5,0.3470309,0.0672762,-0.1194117,
-4,0.3611481,0.06452566,-0.1168068,
-3,0.406033,0.05687071,-0.1207057,
-2.5,0.4847052,0.04980299,-0.1421374,
-2,0.5120413,0.04693961,-0.139363,
-1.5,0.5682449,0.04343189,-0.1451334,
0.5,1.252367,0.01625186,-0.2675767,
1,1.320978,0.01624388,-0.2699457,
1.5,1.384279,0.01653714,-0.2712318,
2,1.441729,0.01705317,-0.2711651,
2.5,1.496795,0.01749055,-0.2705931,
3,1.554453,0.01795884,-0.2706696,
3.5,1.615706,0.01856489,-0.2715913,
4,1.669963,0.01895284,-0.2710171,
4.5,1.726725,0.01942379,-0.2710294,
5,1.786605,0.01995379,-0.271799,
6,1.89785,0.02063388,-0.2716452,
6.5,1.949296,0.02126076,-0.2706568,
7,2.003718,0.02197405,-0.2703952,
7.5,2.040412,0.02254219,-0.2664054,
8,2.0808,0.02311231,-0.2632562,
8.5,2.12954,0.02391209,-0.261999,
9,2.159074,0.02459512,-0.2567747,
9.5,2.197522,0.02532355,-0.2534917,
10,2.23559,0.02623945,-0.2502932,
10.5,2.261858,0.02717365,-0.2448316,
11,2.297099,0.02815135,-0.2413058,
11.5,2.315853,0.02944395,-0.2348643,
12,2.34065,0.03075366,-0.2298151,
12.5,2.357366,0.03244052,-0.2237304,
13,2.375659,0.03432438,-0.2183242,
13.5,2.390552,0.03654249,-0.2128766,
14,2.402876,0.03922389,-0.2076651,
14.5,2.408323,0.04278468,-0.2024178,
15,2.402344,0.04790155,-0.1971825,
15.5,2.382195,0.05534464,-0.1926258,
16,2.343511,0.06620498,-0.1895719,
16.5,2.291319,0.08012779,-0.1885947,
17,2.230683,0.09628973,-0.1897678,
17.5,2.178054,0.1118326,-0.1925726,
18,2.140116,0.125132,-0.1960276,
18.5,2.114476,0.1363638,-0.1996348,
19,2.097466,0.1460269,-0.203216,
19.5,2.085022,0.1547772,-0.20685,
20,2.078663,0.1625043,-0.2103605,
