alpha,cl,cd,cm,
-10,-0.06256474,0.137163,-0.04779612,
-9.5,-0.02142553,0.1300085,-0.05596657,
-9,0.01460956,0.1228851,-0.06378987,                                                                 
-8.5,0.05252422,0.115455,-0.07104388,
-8,0.09338258,0.1086623,-0.0771822,
-7.5,0.1093494,0.1036156,-0.07733534,
-7,0.1198575,0.09886452,-0.08135049,
-6.5,0.2533375,0.08513652,-0.1078487,
-6,0.3525047,0.07619334,-0.130825,
-5.5,0.3650456,0.07336487,-0.1297342,
-5,0.3546355,0.07091113,-0.1257475,
-4.5,0.3653802,0.06820881,-0.1215132,
-3.5,0.3910601,0.06149625,-0.1206847,
-3,0.416393,0.0582546,-0.1215787,
-2.5,0.4787786,0.05206303,-0.138145,
-2,0.5100447,0.04907684,-0.1366136,
-1.5,0.6096088,0.03405887,-0.1525383,
-1,1.009574,0.01942333,-0.2521664,
-0.5,0.9563799,0.02488251,-0.2262791,
0.5,1.257344,0.0176608,-0.2687745,
1,1.330278,0.01783661,-0.2721234,
1.5,1.391218,0.01818545,-0.2728671,
2,1.451087,0.01886635,-0.2732961,
2.5,1.507081,0.01936102,-0.2729693,
3,1.564333,0.01988341,-0.272969,
3.5,1.625997,0.02045403,-0.2740214,
4,1.682768,0.02098217,-0.2740499,
4.5,1.740047,0.02151562,-0.2742182,
5,1.801868,0.02207251,-0.2754516,
5.5,1.858811,0.02232841,-0.2756402,
6,1.907475,0.02303496,-0.2740351,
6.5,1.959154,0.02378042,-0.27314,
7,2.015316,0.02458643,-0.2732611,
7.5,2.057105,0.02533565,-0.2704237,
8,2.101064,0.02587841,-0.2680214,
8.5,2.148857,0.02673608,-0.2665847,
9,2.183721,0.02748578,-0.262489,
9.5,2.230991,0.02813787,-0.2609777,
10,2.25732,0.0291625,-0.2553781,
10.5,2.286072,0.02994153,-0.2502936,
11,2.312207,0.03096033,-0.244928,
11.5,2.329211,0.03211249,-0.2379963,
12,2.351745,0.03338839,-0.232409,
12.5,2.360915,0.03509907,-0.2248277,
13,2.37094,0.03711102,-0.2179735,
13.5,2.378737,0.03940835,-0.2113554,
14,2.379171,0.04261503,-0.204645,
14.5,2.378738,0.04639243,-0.1988487,
15,2.372275,0.05133926,-0.1937649,
15.5,2.354509,0.05830496,-0.1895866,
16,2.322075,0.06819498,-0.1869094,
16.5,2.270693,0.08178753,-0.1861167,
17,2.212792,0.09733007,-0.1874012,
17.5,2.163787,0.1121099,-0.1902008,
18,2.128537,0.1247917,-0.1935496,
18.5,2.105328,0.1354629,-0.196991,
19,2.090247,0.144684,-0.2003994,
19.5,2.081557,0.1526646,-0.2036249,
20,2.075843,0.1601732,-0.2070389,
