alpha,cl,cd,cm,
-10,-0.1363779,0.1456765,-0.02880552,
-9.5,-0.08779515,0.1381641,-0.03831068,
-9,0.04132597,0.1242533,-0.06414235,                                                                 
-8,0.0425379,0.1158212,-0.0646681,
-6.5,0.1308059,0.09701408,-0.07661195,
-6,0.2088251,0.08781867,-0.09293029,
-5.5,0.3500034,0.07550954,-0.1252698,
-5,0.3716274,0.07214701,-0.1307201,
-4.5,0.3962934,0.06857888,-0.1287185,
-4,0.4174259,0.06673314,-0.1402986,
-3.5,0.4278977,0.06207962,-0.1313071,
-3,0.4520857,0.058836,-0.129939,
-2.5,0.5349547,0.05353591,-0.1534261,
-2,0.5537498,0.05010103,-0.1471388,
-1,0.7070712,0.04137428,-0.1703296,
-0.5,1.097564,0.02169717,-0.2592754,
0,1.186035,0.02073547,-0.2661952,
0.5,1.262892,0.02033734,-0.27032,
1,1.337252,0.02062331,-0.2740023,
1.5,1.394305,0.02122516,-0.2738235,
2,1.456107,0.02190301,-0.2747044,
2.5,1.514107,0.02258741,-0.2749114,
3,1.57287,0.02318656,-0.2753527,
3.5,1.637363,0.02389842,-0.2770585,
4,1.691882,0.0245515,-0.2767137,
4.5,1.751123,0.02526177,-0.2773973,
5,1.805193,0.02549836,-0.2768694,
5.5,1.854624,0.02658464,-0.2755032,
6,1.904935,0.02760897,-0.274378,
6.5,1.960242,0.02865216,-0.2743274,
7,2.006169,0.02994968,-0.272522,
7.5,2.051213,0.03098493,-0.2704904,
8,2.103747,0.03187488,-0.2699652,
8.5,2.138125,0.03292818,-0.2659127,
9,2.193158,0.03366105,-0.2659164,
9.5,2.218784,0.03503352,-0.260385,
10,2.268718,0.03552831,-0.2593748,
10.5,2.289237,0.03705747,-0.253087,
11,2.333474,0.03751626,-0.2510527,
11.5,2.338236,0.03917986,-0.2420082,
12,2.381377,0.03933296,-0.2397549,
12.5,2.357049,0.04191305,-0.226268,
13,2.378983,0.04290308,-0.2208862,
13.5,2.362618,0.0459342,-0.210477,
14,2.350359,0.0494078,-0.2019858,
14.5,2.346833,0.05266296,-0.1955654,
15,2.32448,0.0582349,-0.1890899,
15.5,2.293382,0.06613213,-0.1845968,
16,2.258414,0.07598803,-0.1824875,
16.5,2.205747,0.0897445,-0.1828244,
17,2.168033,0.1019464,-0.1842697,
17.5,2.130407,0.1146254,-0.1870078,
18,2.103645,0.1256881,-0.1901054,
18.5,2.090065,0.1344487,-0.192807,
19,2.081474,0.1423264,-0.1955626,
19.5,2.076756,0.1494944,-0.1983537,
20,2.076213,0.1558131,-0.2009923,
