alpha,cl,cd,cm,
-10,-1.043763,0.01924892,-0.01102167,
-9.5,-1.002633,0.01819308,-0.008905539,
-9,-0.9600121,0.01729728,-0.006775083,                                                                 
-8.5,-0.9255032,0.01572646,-0.003346222,
-8,-0.8831576,0.01500809,-0.000926,
-7.5,-0.8448733,0.01394422,0.002134036,
-7,-0.8047267,0.01311362,0.00496286,
-6.5,-0.7639412,0.01237498,0.007696951,
-6,-0.7224847,0.01170455,0.01026504,
-5.5,-0.6805933,0.01103652,0.01261908,
-5,-0.6260566,0.01038542,0.01227204,
-4.5,-0.5521901,0.009642182,0.007869652,
-4,-0.4778403,0.008984073,0.003506846,
-3.5,-0.4029018,0.008390501,-0.000822422,
-3,-0.3308088,0.007840015,-0.004350329,
-2.5,-0.2660227,0.007356898,-0.006028367,
-2,-0.2087487,0.006952668,-0.005854294,
-1.5,-0.1554295,0.006620428,-0.004688754,
-1,-0.1035795,0.006370504,-0.003136988,
-0.5,-0.05169495,0.006230256,-0.001606953,
0,5.67E-09,0.006166014,-1.15E-09,
0.5,0.05169504,0.00623025,0.001606934,
1,0.1035798,0.006370489,0.003136926,
1.5,0.1554297,0.006620393,0.004688724,
2,0.208748,0.006952594,0.005854464,
2.5,0.2660221,0.007356751,0.006028534,
3,0.3307998,0.007839714,0.004352279,
3.5,0.4029128,0.008390014,0.000819818,
4,0.4778576,0.008983348,-0.003511021,
4.5,0.5522124,0.009641225,-0.007875277,
5,0.626094,0.01038405,-0.01228125,
5.5,0.6805003,0.01103437,-0.01260081,
6,0.7223974,0.01170248,-0.01024758,
6.5,0.763859,0.01237338,-0.007680423,
7,0.8046546,0.01311208,-0.004948088,
7.5,0.8448146,0.0139428,-0.002121854,
8,0.8831191,0.01500675,0.00093417,
8.5,0.9254862,0.01572508,0.003350213,
9,0.9600446,0.01729587,0.006769007,
9.5,1.002708,0.01819194,0.008890749,
10,1.043886,0.0192478,0.01099706,
10.5,1.072936,0.0215502,0.01451258,
11,1.111703,0.0227441,0.01672283,
11.5,1.144819,0.02435218,0.01948674,
12,1.171325,0.02610217,0.02296957,
12.5,1.189225,0.02826883,0.02704298,
13,1.193791,0.03197773,0.03112813,
13.5,1.181617,0.03797528,0.0343709,
14,1.186418,0.04232696,0.03483854,
14.5,1.183223,0.04825944,0.0336199,
15,1.170554,0.05622565,0.03032904,
15.5,1.146052,0.06677649,0.02476196,
16,1.107206,0.08077137,0.01652505,
16.5,1.045466,0.1003239,0.004723946,
17.5,0.7379062,0.2067694,-0.04622516,
18,0.750109,0.2142361,-0.05014429,
18.5,0.7655718,0.2200112,-0.05324266,
19,0.7844278,0.2243003,-0.0552502,
19.5,0.7920591,0.2343006,-0.05908522,
20,0.8038231,0.2428201,-0.06412536,
