alpha,cl,cd,cm,
-10,-1.002778,0.0293955,-0.01725873,
-9.5,-0.9653317,0.02708193,-0.01500028,
-9,-0.926086,0.02516668,-0.01251276,                                                                 
-8.5,-0.8876229,0.02283253,-0.010283,
-8,-0.8489225,0.02074578,-0.00759435,
-7.5,-0.8099714,0.01922039,-0.004735852,
-7,-0.7730492,0.01773052,-0.00163196,
-6.5,-0.7355983,0.01639556,0.001484723,
-6,-0.6979977,0.01514352,0.004562131,
-5.5,-0.6598685,0.01400218,0.007480987,
-5,-0.6203279,0.01307154,0.01013295,
-4.5,-0.5791696,0.01235082,0.01253395,
-4,-0.5366919,0.01178682,0.01471757,
-3.5,-0.4926499,0.01135507,0.01661751,
-3,-0.4476069,0.01104868,0.01831481,
-2.5,-0.3931902,0.0108603,0.01811857,
-2,-0.3078256,0.01067331,0.01208966,
-1.5,-0.2259905,0.01048124,0.007332766,
-1,-0.1430081,0.01033752,0.002831283,
-0.5,-0.06704057,0.01023205,0.000360745,
0,-5.12E-09,0.01017669,1.13E-09,
0.5,0.0670401,0.01023201,-0.000360626,
1,0.1429947,0.01033727,-0.002828549,
1.5,0.2259839,0.01048062,-0.007331626,
2,0.3078166,0.01067224,-0.01208856,
2.5,0.3931965,0.01085866,-0.01812163,
3,0.4475209,0.01104662,-0.01829939,
3.5,0.4925662,0.01135306,-0.01660216,
4,0.5366062,0.011785,-0.01470152,
4.5,0.579087,0.01234907,-0.01251827,
5,0.6202508,0.01306971,-0.01011797,
5.5,0.6597996,0.01400021,-0.007467237,
6,0.6979358,0.01514176,-0.004549809,
6.5,0.7355488,0.01639382,-0.001474727,
7,0.773016,0.01772858,0.001639099,
7.5,0.8099584,0.01921848,0.004739084,
8,0.8489359,0.0207443,0.007592151,
8.5,0.8876686,0.02283127,0.01027455,
9,0.9261583,0.02517193,0.01249751,
9.5,0.9654488,0.02708163,0.01497801,
10,1.00294,0.02939638,0.01722748,
10.5,1.033403,0.0339123,0.01979445,
11,1.055712,0.03753082,0.02347228,
11.5,1.072457,0.04089804,0.02710871,
12,1.084775,0.04384761,0.03073943,
12.5,1.074538,0.04938389,0.03505023,
13,1.039846,0.05733094,0.037169,
13.5,0.9968773,0.06727355,0.03413506,
14.5,0.6730729,0.1643996,-0.02404227,
15,0.6812062,0.1718222,-0.02725742,
15.5,0.7067854,0.1769877,-0.02620289,
16,0.714098,0.1876084,-0.0288365,
16.5,0.703419,0.1968107,-0.03894599,
17,0.7171691,0.2036291,-0.0418437,
17.5,0.7364548,0.2099863,-0.04298113,
18,0.7582439,0.2205058,-0.04255368,
18.5,0.75249,0.2263445,-0.05375644,
19,0.7671985,0.2327164,-0.05761559,
19.5,0.784883,0.2387099,-0.05975404,
20,0.807581,0.2501286,-0.05876036,
